Player's hand,Other player's cards,Win %,Lose %,Push %,Avg profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"4s,4c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3s,3c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3s,2c",,0.0,1.0,0.0,-9.99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ac,Kc",,0.36,0.58,0.06,9.49,1949160,53.010000000000005,40.155,4.0280000000000005,1.525,0.313,0.861,0.087,0.013,0.0,0.008
"Ac,Qc",,0.36,0.57,0.06,9.57,1957000,52.781,40.415,4.034,1.493,0.318,0.857,0.08099999999999999,0.013,0.0,0.008
"Ac,Jc",,0.36,0.57,0.06,7.48,1748220,52.676,40.510000000000005,3.9539999999999997,1.63,0.314,0.823,0.082,0.01,0.0,0.001
"Ac,10c",,0.23,0.58,0.18,0.39,1039010,47.260000000000005,38.42,4.014,1.569,0.306,0.8380000000000001,0.109,0.012,0.0,0.001
"Ac,9c",,0.23,0.58,0.18,-0.72,927780,47.355000000000004,38.679,4.075,1.508,0.0,0.835,0.075,0.011000000000000001,0.0,0.0
"Ac,8c",,0.23,0.58,0.18,-0.11,988460,47.203,38.848,4.085,1.6119999999999999,0.0,0.878,0.098,0.012,0.0,0.0
"Ac,7c",,0.23,0.58,0.17,-0.64,935100,47.272999999999996,38.797,3.9829999999999997,1.6,0.0,0.791,0.091,0.011000000000000001,0.0,0.0
"Ac,6c",,0.23,0.58,0.18,-0.6,939220,47.663,38.46,4.143,1.517,0.0,0.864,0.092,0.011000000000000001,0.0,0.0
"Ac,5c",,0.2,0.74,0.05,-6.32,367610,33.046,30.945,3.641,1.461,0.013,0.857,0.079,0.006999999999999999,0.0,0.0
"Ac,4c",,0.2,0.74,0.05,-6.3,369340,33.286,31.011,3.5970000000000004,1.43,0.011000000000000001,0.8699999999999999,0.083,0.008,0.0,0.0
"Ac,3c",,0.2,0.74,0.05,-6.19,380850,33.115,31.019000000000002,3.585,1.47,0.008,0.828,0.098,0.012,0.0,0.0
"Ac,2c",,0.2,0.74,0.04,-6.18,381580,33.202,30.988,3.643,1.405,0.01,0.8370000000000001,0.09,0.013999999999999999,0.0,0.0
"Kc,Qc",,0.36,0.57,0.06,8.52,1852540,52.318,40.544999999999995,3.982,1.5610000000000002,0.618,0.853,0.109,0.011000000000000001,0.002,0.001
"Kc,Jc",,0.36,0.57,0.06,10.23,2023440,52.190000000000005,40.544000000000004,4.066,1.6099999999999999,0.631,0.852,0.087,0.01,0.004,0.006
"Kc,10c",,0.23,0.58,0.18,1.9,1190420,46.951,38.634,3.949,1.513,0.637,0.8580000000000001,0.091,0.013,0.004,0.004
"Kc,9c",,0.23,0.58,0.18,0.41,1040990,47.014,38.74,4.055000000000001,1.544,0.313,0.8370000000000001,0.10300000000000001,0.016,0.003,0.0
"Kc,8c",,0.23,0.59,0.17,-0.88,911860,47.685,38.504,3.9669999999999996,1.6099999999999999,0.0,0.808,0.091,0.009000000000000001,0.0,0.0
"Kc,7c",,0.23,0.58,0.18,-0.27,972350,47.507,38.568999999999996,3.9960000000000004,1.6260000000000001,0.0,0.9039999999999999,0.098,0.011000000000000001,0.0,0.0
"Kc,6c",,0.23,0.59,0.18,-0.87,912140,47.388999999999996,38.567,4.052,1.557,0.0,0.88,0.073,0.008,0.0,0.0
"Kc,5c",,0.2,0.74,0.05,-6.43,356840,33.284000000000006,30.938,3.55,1.462,0.0,0.818,0.105,0.008,0.0,0.0
"Kc,4c",,0.2,0.74,0.05,-6.08,391160,33.206,31.296000000000003,3.6679999999999997,1.444,0.0,0.827,0.086,0.012,0.0,0.0
"Kc,3c",,0.2,0.74,0.04,-6.31,368180,33.207,31.137999999999998,3.612,1.405,0.0,0.902,0.086,0.009000000000000001,0.0,0.0
"Kc,2c",,0.2,0.74,0.05,-6.32,367780,33.158,31.15,3.672,1.484,0.0,0.819,0.082,0.008,0.0,0.0
"Qc,Jc",,0.37,0.57,0.06,11.16,2116280,51.954,40.531,4.0280000000000005,1.53,0.931,0.8880000000000001,0.109,0.013999999999999999,0.01,0.005
"Qc,10c",,0.24,0.58,0.17,3.76,1376030,46.731,38.513,3.995,1.566,0.946,0.818,0.07100000000000001,0.01,0.009000000000000001,0.008
"Qc,9c",,0.23,0.58,0.18,0.79,1079450,47.166999999999994,38.519999999999996,3.879,1.518,0.656,0.8210000000000001,0.087,0.009000000000000001,0.012,0.0
"Qc,8c",,0.23,0.58,0.18,0.54,1054490,46.81,38.839,4.138,1.566,0.34099999999999997,0.808,0.087,0.013,0.003,0.0
"Qc,7c",,0.23,0.58,0.18,-0.47,952760,47.464,38.748,4.102,1.5650000000000002,0.0,0.836,0.109,0.008,0.0,0.0
