Player's hand,Other player's cards,Win %,Lose %,Push %,Total profit $,Ending bankroll $,High Card %,Pair %,Two Pair %,Trips %,Straight %,Flush %,Full House %,Quads %,Straight Flush %,Royal Flush %
"13c,8c",,0.22,0.59,0.17,-17290,982710,47.96,38.1,3.7699999999999996,1.55,0.0,0.8699999999999999,0.1,0.0,0.0,0.0
"13c,7c",,0.23,0.58,0.18,-7840,992160,47.29,39.12,3.7900000000000005,1.55,0.0,0.84,0.11,0.02,0.0,0.0
"13c,6c",,0.23,0.58,0.17,-3860,996140,47.63,38.41,4.38,1.4200000000000002,0.0,0.89,0.11,0.0,0.0,0.0
"13c,5c",,0.2,0.74,0.05,-78470,921530,33.1,31.65,3.37,1.32,0.0,0.63,0.06999999999999999,0.0,0.0,0.0
"13c,4c",,0.2,0.75,0.04,-61960,938040,33.92,30.25,3.7699999999999996,1.44,0.0,0.8200000000000001,0.08,0.02,0.0,0.0
"13c,3c",,0.21,0.73,0.05,-48260,951740,31.94,32.15,3.6999999999999997,1.4500000000000002,0.0,0.7799999999999999,0.13999999999999999,0.02,0.0,0.0
"13c,2c",,0.2,0.75,0.04,-62790,937210,34.17,29.909999999999997,3.9800000000000004,1.4500000000000002,0.0,0.96,0.1,0.01,0.0,0.0
"12c,11c",,0.36,0.57,0.06,109600,1109600,52.410000000000004,40.42,4.03,1.4500000000000002,0.91,0.65,0.1,0.02,0.0,0.01
"12c,10c",,0.24,0.57,0.18,11900,1011900,46.33,38.98,3.91,1.35,1.25,0.77,0.08,0.0,0.01,0.0
"12c,9c",,0.23,0.58,0.18,10120,1010120,47.46,38.78,3.9899999999999998,1.41,0.5599999999999999,0.7799999999999999,0.05,0.0,0.03,0.0
"12c,8c",,0.23,0.59,0.17,-2500,997500,47.58,38.05,4.0,1.59,0.25,0.89,0.08,0.02,0.0,0.0
"12c,7c",,0.23,0.58,0.18,-17230,982770,47.089999999999996,39.31,3.9,1.5699999999999998,0.0,0.67,0.06999999999999999,0.0,0.0,0.0
"12c,6c",,0.23,0.58,0.18,-720,999280,46.949999999999996,39.08,3.95,1.69,0.0,0.98,0.09,0.0,0.0,0.0
"12c,5c",,0.2,0.75,0.05,-64850,935150,33.550000000000004,30.73,3.53,1.49,0.0,0.8200000000000001,0.13999999999999999,0.0,0.0,0.0
"12c,4c",,0.2,0.74,0.04,-69600,930400,33.1,31.6,3.53,1.41,0.0,0.7000000000000001,0.06,0.01,0.0,0.0
"12c,3c",,0.2,0.74,0.05,-55540,944460,33.489999999999995,31.36,3.5000000000000004,1.39,0.0,0.95,0.13999999999999999,0.02,0.0,0.0
"12c,2c",,0.2,0.75,0.04,-67770,932230,33.12,30.59,3.35,1.4200000000000002,0.0,0.8699999999999999,0.1,0.01,0.0,0.0
"11c,10c",,0.25,0.56,0.18,74840,1074840,44.940000000000005,39.89,3.6999999999999997,1.59,1.27,0.91,0.16,0.0,0.03,0.01
"11c,9c",,0.24,0.58,0.17,20180,1020180,47.22,37.7,4.12,1.68,1.02,0.88,0.09,0.0,0.01,0.0
